Seq | Data_Center_Code | Name | TSN | Authority | Best_NODC7 | Collectors_Comment | Data_Managers_Comment | Short_Name | TSN_ITIS | APHIAID
90000000004982 | 20 | Cyclothone signata | 162168 |  | 8759010100 |  | NL - Trinity Bay |  | 162168 | 154831 
90000000004125 | 90 | Cyclotrichium | -1 |  | -1 |  | IML_phyto_April2007 |  | NaN | 341295 
90000000004022 | 90 | Cyclotrichium aff. sphaericum | -70078 | Fauré-Frémiet, 1924 | -1 | Bérard-Therriault, L.; Poulin, M.; Bosse, L. 1999. Guide d'identification du phytoplancton marin de l'estuaire et du golfe du Saint-Laurent incluant également certains protozoaires. Publication spéciale canadienne des sciences halieutiques et aquatiques; 128. 387 p. page 337  reference book Scientific Authority = Fauré-Frémiet, 1924 | IML_PHYTO_Feb2007 |  | NaN | 341295 
90000000004023 | 90 | Cyclotrichium gigas | -70079 | Fauré-Frémiet, 1924 | -1 | Bérard-Therriault, L.; Poulin, M.; Bosse, L. 1999. Guide d'identification du phytoplancton marin de l'estuaire et du golfe du Saint-Laurent incluant également certains protozoaires. Publication spéciale canadienne des sciences halieutiques et aquatiques; 128. 387 p. page 337  reference book Scientific Authority = Fauré-Frémiet, 1924 | IML_PHYTO_Feb2007 |  | NaN | 341711 
90000000001315 | 90 | Cydippida | 53859 |  | 3802000000 |  | IOSdata | CYDORD | 53859 | 1251 
90000000000416 | 90 | Cylindroleberis mariae | 84217 |  | 6111030100 |  | KENNEDY 77007; | CYL | 84217 | 238708 
90000000004528 | 20 | Cylindropyxis | 2612 |  | 702030200 |  | BedfordBasin1971 |  | 2612 | 415265 
90000000002509 | 90 | Cylindrotheca | 5316 |  | 703100400 |  | AZMP_PHYTO |  | 5316 | 149003 
90000000001429 | 90 | Cylindrotheca closterium | 5318 |  | 703100402 |  | jm_list;; CPRdata | CYL | 5318 | 149004 
90000000002641 | 90 | Cylindrotheca gracilis | 615881 | (BRÉB. IN KÜTZ.) GRUNOW | 700000000 | itis | AZMP |  | 615881 | 149570 
90000000002658 | 90 | Cylindrotheca longissima | 5318 |  | 703100402 |  | AZMP_PHYTO |  | 5318 | 149004 
90000000005335 | 20 | Cyllopus lucasi | -7 |  | 9 |  | IOS_March2010 |  | -7 | 325406 
90000000002079 | 90 | Cymatosira | 3192 |  | 703011700 |  | american CPR |  | 3192 | 149011 
90000000002080 | 90 | Cymatosira belgica | 3193 |  | 703011701 |  | american CPR |  | 3193 | 149012 
90000000000301 | 90 | Cymbasoma | -7219 |  | 6120000000 | copep Thompson 1888 | KENNEDY 85028 | CYM | NaN | 119778 
90000000005874 | 30 | Cymbella | 4795 | C. Agardh 1830 | 701000000 | Round, F.E.; Crawford, R.M.; Mann, D.G. 1990. The diatoms : biology & morphology of the genera. Cambridge : Cambridge University Press. 747 p. (page 486). | IML_mai 2013 |  | NaN | NaN 
90000000004983 | 20 | Cynoscion nebulosus | 169239 |  | 8835440100 |  | NL - Trinity Bay |  | 169239 | 159312 
90000000004984 | 20 | Cynoscion regalis | 84481 |  | 8835440100 |  | NL - Trinity Bay |  | 84481 | 159313 
90000000001316 | 90 | Cyphocaris | 94280 | BOECK, 1871 | 6169341100 |  | IOSdata | CYP | 94280 | 101603 
90000000001546 | 90 | Cyphocaris anonyx | 94282 | BOECK, 1871 | 6169341100 |  | IOSdata | CYP | 94282 | 102554 
90000000001545 | 90 | Cyphocaris challengeri | 94281 | STEBBING, 1888 | 6169341100 |  | IOSdata | CYP | 94281 | 428630 
90000000005336 | 20 | Cyphocaris richardi | 656778 | Chevreux, 1905 | 6169341100 |  | IOS_March2010 |  | 656778 | 102557 
90000000001317 | 90 | Cyphocaris richardii | 206532 | CHEVREUX, 1905 | 6169341100 |  |  | CYP | 206532 | 102557 
90000000003819 | 20 | Cyphocaris richiardii | 206532 | CHEVREUX, 1905 | 6169341100 | spelled with only one I at end¿ | IOS2006 (ii - now invalid) |  | 206532 | 102557 
90000000004985 | 20 | Cypria | 181131 |  | 6113030200 |  | NL - Trinity Bay |  | 181131 | 156849 
90000000004986 | 20 | Cypridae | 84198 |  | 6113350000 |  | NL - Trinity Bay |  | 84198 | 127481 
90000000000340 | 90 | Cyprididae | 84462 | BAIRD, 1845 | 6113030000 |  | KENNEDY 81039;KENNEDY 80027; | CYP | 84462 | 146873 
90000000002829 | 90 | Cypridina | 84203 |  | 6111020300 | SFG | NFLD_longlist |  | 84203 | 127520 
90000000003039 | 90 | Cypridina norvegica | 684533 | BAIRD, 1860 | 6111020300 |  | NFLD_LONGLIST; NOT IN ITIS OR FUNDY |  | 684533 | 128459 
90000000004987 | 20 | Cypridinidae | 163342 |  | 6111020000 |  | NL - Trinity Bay |  | 163342 | 127481 
90000000004988 | 20 | Cyprinidae | 165438 |  | 8776010000 |  | NL - Trinity Bay |  | 165438 | 154163 
90000000002830 | 90 | Cyprinodontidae | 165629 |  | 8804040000 | AFS | NFLD_longlist |  | 165629 | 125466 
90000000004989 | 20 | Cypselurus furcatus | 165434 |  | 8803010100 |  | NL - Trinity Bay |  | 165434 | 217866 
90000000004990 | 20 | Cypselurus heterurus | 165432 |  | 8803010100 |  | NL - Trinity Bay |  | 165432 | 312461 
90000000003820 | 20 | Cyrtoidea | -7946 |  | 3465000000 |  | IOS2006 |  | NaN | 345839 
90000000001318 | 90 | Cystisoma | 95367 |  | 6170200100 |  | IOSdata | CYS | 95367 | 101793 
90000000001319 | 90 | Cystisoma fabricii | 95368 |  | 6170200100 |  |  | CYS | 95368 | 103243 
90000000005337 | 20 | Cystisoma pellucidum | -7 |  | 9 |  | IOS_March2010 |  | -7 | 103246 
90000000004587 | 20 | Cystisoma pellucidum | 0 | STEBBING, 1888 | 6170200100 |  |  |  | NaN | 103246 
90000000001226 | 90 | Cystodinium | 10567 | KLEBS, 1912 | 1205010500 |  | CPRdata | CYS | 10567 | 196830 
90000000001733 | 90 | CYT - cunner/yellowtail | -5920 |  | 8717000000 |  | SSIP | CYTEGG | 166082 | 10194 
90000000004691 | 20 | Cytotella | -1 |  | -1 |  | PrinsenbergCruises |  | NaN | 148905 
90000000002056 | 90 | Dactyliosolen | 2397 |  | 702011300 |  | jm_list;american CPR |  | 2397 | 149309 
90000000005566 | 20 | Dactyliosolen aff. blavyanus | 573637 | (H. Peragallo) Hasle (for Dactyliosolen blavyanus) | 702011300 | Tomas, C.R.; Hasle, G.R.; Syvertsen, E.E.; Steidinger, K.A.; Tangen, K.; Throndsen, J.; Heimdal, B.R. 1997. Identifying Marine Phytoplankton. San Diego; Toronto : Academic Press, c1997. 858 p. (page 167)
 | IML-June2011 |  | 2397 | 179786 
90000000001144 | 90 | Dactyliosolen antarcticus | 2398 |  | 702011301 |  | CPRdata | DAC | 2398 | 179785 
90000000002646 | 90 | Dactyliosolen fragilissimus | 615882 | (BERGON) HASLE | 700000000 | itis | jm_list;ZMP |  | 615882 | 149310 
90000000001145 | 90 | Dactyliosolen mediterraneus | 2399 |  | 702011302 |  | CPRdata | DAC | 2399 | 163262 
90000000003080 | 90 | Dactylopodia | 88377 | Lang, 1948 | 6119310100 | nfld authority field blank;  TA | NFLD_longlist |  | 88377 | 238301 
90000000002831 | 90 | Dactylopodia signata | 88388 | (Willey)                                      | 6119310100 | TA | NFLD_longlist |  | 88388 | 365614 
90000000002832 | 90 | Dactylopodia tisboides | 88378 | (Claus)                                       | 6119310100 | TA | NFLD_longlist |  | 88378 | 238302 
90000000003639 | 90 | Dactylopodia vulgaris | 88379 | (Sars)                                        | 6119310100 | TA | NFLD_longlist |  | 88379 | 238303 
90000000004991 | 20 | Dactylopteridae | 167622 |  | 8832010000 |  | NL - Trinity Bay |  | 167622 | 125591 
90000000001737 | 90 | Dactylopterus volitans | 167624 | (LINNAEUS, 1758) | 8832010101 |  | SSIP | DAC | 167624 | 127232 
90000000002833 | 90 | Dactylopusia | 206117 |  | 6119312200 | TA | NFLD_longlist |  | 206117 | 115458 
90000000003328 | 90 | Dactylopusia distans | -7907 | WILLEY, 1931 | 6119312200 | TA | Nfld_longlist; not  in ITIS |  | NaN | 358138 
90000000004487 | 20 | Dadayiella ganymedes | 46756 |  | 3540130300 |  | Madhu_codelist |  | 46756 | 183542 
90000000002011 | 90 | Dairella | 95170 | BOVALLIUS, 1887 | 6170020100 |  | american CPR |  | 95170 | 101794 
90000000004354 | 20 | Dairella californica | 656424 | (Bouvallius, 1885) | 6170020100 |  | IOS1 |  | 656424 | 421612 
90000000002189 | 90 | Dairella latissima | 95171 |  | 6170020100 |  | american CPR |  | 95171 | 103248 
90000000004992 | 20 | Dalatiidae | 564004 |  | 1 |  | NL - Trinity Bay |  | 564004 | 105714 
